Teams,Teams Link,Wins,Losses,Rings
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/,2766,2853,1
Boston Celtics,https://www.basketball-reference.com/teams/BOS/,3426,2370,17
Brooklyn Nets,https://www.basketball-reference.com/teams/NJN/,1859,2435,2
Charlotte Hornets,https://www.basketball-reference.com/teams/CHA/,1050,1345,0
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/,2227,2135,6
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/,1867,2168,1
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/,1615,1610,1
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/,2162,2133,0
Detroit Pistons,https://www.basketball-reference.com/teams/DET/,2753,2927,3
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/,2787,2998,6
Houston Rockets,https://www.basketball-reference.com/teams/HOU/,2269,2019,2
Indiana Pacers,https://www.basketball-reference.com/teams/IND/,2216,2078,3
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/,1659,2383,0
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/,3385,2301,17
Memphis Grizzlies,https://www.basketball-reference.com/teams/MEM/,826,1167,0
Miami Heat,https://www.basketball-reference.com/teams/MIA/,1338,1229,3
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/,2185,2022,1
Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/,980,1496,0
New Orleans Pelicans,https://www.basketball-reference.com/teams/NOH/,673,777,0
New York Knicks,https://www.basketball-reference.com/teams/NYK/,2799,2988,2
Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/,2327,1961,1
Orlando Magic,https://www.basketball-reference.com/teams/ORL/,1191,1294,0
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/,2900,2723,3
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/,2220,1987,0
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/,2169,1875,1
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/,2593,3094,1
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/,2572,1721,5
Toronto Raptors,https://www.basketball-reference.com/teams/TOR/,955,1037,1
Utah Jazz,https://www.basketball-reference.com/teams/UTA/,2008,1706,0
Washington Wizards,https://www.basketball-reference.com/teams/WAS/,2153,2616,1
